
|N   |clock_time|AVERAGE_OB    |MAX_OB  |MIN_OB  |
|1242|0.017424  |386815.600000 |401930  |368622  |
|1244|0.017945  |391500.400000 |401132  |380963  |
|1246|0.017358  |390043.800000 |406244  |371449  |
|1248|0.017643  |385266.600000 |393927  |368033  |
|1250|0.017420  |390037.400000 |395175  |381399  |
|1252|0.017505  |389732.100000 |397937  |375774  |
|1254|0.017858  |394757.200000 |410422  |380592  |
|1256|0.017645  |394803.000000 |399687  |387814  |
|1258|0.017954  |394379.700000 |406696  |385023  |
|1260|0.017586  |396346.900000 |416528  |384359  |
|1262|0.018141  |397052.700000 |407250  |386667  |
|1264|0.018136  |403361.900000 |410558  |396631  |
|1266|0.018085  |402374.700000 |416503  |395702  |
|1268|0.018256  |405884.500000 |417126  |376318  |
|1270|0.018231  |404779.200000 |415647  |389781  |
|1272|0.018336  |405815.100000 |411050  |399794  |
|1274|0.018247  |408236.200000 |413997  |395933  |
|1276|0.018435  |410198.100000 |428713  |396085  |
|1278|0.018370  |410351.700000 |424377  |394864  |
|1280|0.018411  |411259.700000 |430797  |402095  |
|1282|0.018616  |412440.000000 |431558  |388028  |
|1284|0.018191  |409869.100000 |424804  |394511  |
|1286|0.018794  |413811.400000 |421860  |402569  |
|1288|0.018981  |415996.700000 |425653  |402995  |
|1290|0.018524  |414117.500000 |427212  |398743  |
|1292|0.018938  |421902.400000 |440181  |405617  |
|1294|0.018674  |418274.500000 |425881  |405053  |
|1296|0.019036  |422222.200000 |433171  |404448  |
|1298|0.019130  |425271.000000 |433297  |418162  |
|1300|0.019204  |422963.400000 |436251  |411811  |
|1302|0.018873  |428045.900000 |435024  |415262  |
|1304|0.019424  |430407.300000 |438556  |424063  |
|1306|0.019096  |427487.300000 |443684  |416664  |
|1308|0.019280  |428815.200000 |441688  |415251  |
|1310|0.019458  |429769.800000 |441308  |409608  |
|1312|0.019264  |428749.300000 |441137  |412247  |
|1314|0.019235  |428136.700000 |438210  |409964  |
|1316|0.019339  |432889.100000 |442084  |422180  |
|1318|0.019607  |437460.400000 |455834  |427992  |
|1320|0.019663  |438036.300000 |458081  |423047  |
|1322|0.019565  |438586.300000 |444836  |423660  |
|1324|0.019848  |439077.300000 |449611  |431173  |
|1326|0.019488  |439043.900000 |448142  |429051  |
|1328|0.019920  |443157.300000 |457380  |430468  |
|1330|0.019968  |442573.500000 |459445  |433838  |
|1332|0.019723  |444761.700000 |469105  |435466  |
|1334|0.020172  |446787.200000 |456870  |426583  |
|1336|0.019681  |444401.100000 |456302  |437601  |
|1338|0.019823  |445587.700000 |460364  |432316  |
|1340|0.020556  |452200.100000 |466298  |439007  |
|1342|0.019910  |448786.100000 |458215  |432518  |
|1344|0.020636  |454571.500000 |466274  |446095  |
|1346|0.020231  |452999.500000 |459062  |439075  |
|1348|0.024920  |459875.800000 |475851  |440973  |
|1350|0.020070  |446704.400000 |470046  |434604  |
|1352|0.021421  |454331.100000 |466925  |443129  |
|1354|0.021146  |461485.500000 |475184  |447576  |
|1356|0.020683  |460789.000000 |467537  |448759  |
|1358|0.025088  |459168.100000 |475419  |448052  |
|1360|0.020422  |458553.400000 |475241  |444614  |
|1362|0.020817  |464456.900000 |475326  |453366  |
|1364|0.020907  |463811.900000 |478195  |439637  |
|1366|0.020984  |469600.800000 |476004  |458870  |
|1368|0.021469  |471180.900000 |477608  |465620  |
|1370|0.020917  |466417.400000 |476704  |458484  |
|1372|0.021331  |475624.600000 |485946  |464027  |
|1374|0.021139  |472440.200000 |481634  |454472  |
|1376|0.021280  |475398.000000 |488905  |463943  |
|1378|0.021733  |483714.700000 |495465  |472571  |
|1380|0.021205  |475434.200000 |488898  |464071  |
|1382|0.021495  |484640.300000 |495461  |477464  |
|1384|0.021757  |484105.100000 |494457  |470414  |
|1386|0.021434  |479513.200000 |487832  |466528  |
|1388|0.022116  |486265.800000 |497661  |470045  |
|1390|0.021920  |490257.400000 |500935  |478668  |
|1392|0.021972  |487272.700000 |502341  |467150  |
|1394|0.022097  |493892.900000 |513209  |480723  |
|1396|0.021955  |490344.300000 |508826  |479031  |
|1398|0.022289  |493524.200000 |503559  |484811  |
|1400|0.021731  |487437.500000 |499600  |475197  |
|1402|0.021848  |492551.700000 |502445  |480622  |
|1404|0.022368  |496648.900000 |508997  |480971  |
|1406|0.021998  |494225.900000 |503335  |474876  |
|1408|0.022300  |494293.800000 |502855  |483546  |
|1410|0.022033  |495649.500000 |507981  |481988  |
|1412|0.022143  |498094.400000 |506087  |485593  |
|1414|0.022520  |502753.300000 |521869  |482093  |
|1416|0.022329  |503552.600000 |522351  |488924  |
|1418|0.022751  |507730.500000 |525656  |493258  |
|1420|0.022352  |502288.300000 |511898  |491405  |
|1422|0.022695  |505846.800000 |524835  |488410  |
|1424|0.023169  |511236.800000 |525798  |493821  |
|1426|0.022697  |511189.400000 |526736  |490221  |
|1428|0.023016  |512059.000000 |519683  |493580  |
|1430|0.022787  |511828.900000 |532618  |495718  |
|1432|0.023014  |515856.700000 |534105  |497474  |
|1434|0.023042  |511550.400000 |525062  |488332  |
|1436|0.022648  |511278.800000 |535218  |497274  |
|1438|0.023419  |518953.600000 |534370  |507364  |
|1440|0.023219  |519318.500000 |535422  |501036  |
|1442|0.023278  |519102.900000 |528834  |501304  |
|1444|0.023659  |524109.800000 |540391  |517625  |
|1446|0.023123  |522955.200000 |536579  |505603  |
|1448|0.023900  |526597.200000 |540922  |505869  |
|1450|0.023543  |529732.400000 |542490  |515885  |
|1452|0.023335  |526022.500000 |534016  |511081  |
|1454|0.023944  |530615.800000 |547913  |515837  |
|1456|0.023774  |533467.800000 |547475  |520000  |
|1458|0.023910  |532811.600000 |538594  |520912  |
|1460|0.023748  |532134.000000 |556452  |517952  |
|1462|0.023770  |534151.500000 |550876  |526469  |
|1464|0.023915  |532476.300000 |547461  |518151  |
|1466|0.023840  |534915.200000 |555929  |520896  |
|1468|0.024142  |537800.600000 |550818  |522163  |
|1470|0.023826  |536572.900000 |542886  |529834  |
|1472|0.025888  |544636.700000 |554321  |531123  |
|1474|0.024553  |545218.300000 |555900  |525486  |
|1476|0.024405  |549270.100000 |562833  |533526  |
|1478|0.025272  |550707.600000 |574378  |532269  |
|1480|0.024488  |547748.800000 |558485  |530589  |
|1482|0.024674  |555234.100000 |564283  |545058  |
|1484|0.024615  |545470.500000 |555941  |537867  |
|1486|0.024749  |552844.100000 |573434  |539378  |
|1488|0.025311  |558103.200000 |575687  |547460  |
|1490|0.024901  |555719.500000 |567215  |546737  |
|1492|0.024861  |554678.500000 |560005  |544098  |
|1494|0.025268  |563318.700000 |584922  |549434  |
|1496|0.025002  |561462.200000 |573903  |547117  |
|1498|0.025275  |563054.700000 |573088  |550179  |
|1500|0.025072  |563618.200000 |572708  |551709  |
|1502|0.025257  |568743.600000 |589120  |547839  |
|1504|0.025828  |571501.800000 |580991  |556373  |
|1506|0.025039  |567642.900000 |578658  |557050  |
|1508|0.025300  |562042.600000 |571774  |548713  |
|1510|0.025661  |569034.000000 |578217  |549654  |
|1512|0.025607  |572675.400000 |586371  |564498  |
|1514|0.025744  |576186.900000 |589149  |556363  |
|1516|0.025583  |575569.300000 |588997  |546781  |
|1518|0.026122  |579165.900000 |600967  |563928  |
|1520|0.025601  |577237.400000 |592865  |552560  |
|1522|0.025593  |576353.800000 |591396  |558552  |
|1524|0.025851  |576306.700000 |594629  |560531  |
|1526|0.027016  |588830.200000 |610669  |575458  |
|1528|0.026281  |586044.000000 |605797  |570967  |
|1530|0.025836  |582613.900000 |595147  |567797  |
|1532|0.025944  |583102.800000 |595617  |564756  |
|1534|0.026272  |583168.400000 |606354  |562157  |
|1536|0.026315  |592234.700000 |604204  |577632  |
|1538|0.026552  |589094.400000 |603219  |578253  |
|1540|0.026792  |594446.500000 |612594  |582261  |
|1542|0.026522  |596122.100000 |618755  |580180  |
|1544|0.027161  |603159.300000 |613187  |591776  |
|1546|0.026809  |599415.100000 |628619  |587596  |
|1548|0.026957  |599678.400000 |613193  |583030  |
|1550|0.026664  |600151.600000 |613667  |587873  |
|1552|0.026967  |608177.000000 |617823  |595633  |
|1554|0.027203  |606973.600000 |623377  |592540  |
|1556|0.031142  |604181.800000 |619104  |588615  |
|1558|0.027325  |606039.800000 |621762  |595241  |
|1560|0.028551  |612797.300000 |626052  |600635  |
|1562|0.027409  |614076.400000 |623733  |596789  |
|1564|0.032345  |614356.700000 |631756  |596923  |
|1566|0.027492  |613205.700000 |632082  |598697  |
|1568|0.027717  |612816.000000 |623378  |596462  |
|1570|0.027447  |612537.000000 |626865  |598898  |
|1572|0.028040  |621047.500000 |632970  |604489  |
|1574|0.028114  |625296.100000 |647671  |607210  |
|1576|0.027969  |624167.900000 |647229  |613199  |
|1578|0.028026  |621520.700000 |637904  |608071  |
|1580|0.027776  |622318.000000 |634982  |610799  |
|1582|0.027819  |624049.400000 |634473  |611607  |
|1584|0.028410  |625781.600000 |647908  |613970  |
|1586|0.027854  |626314.700000 |639246  |607675  |
|1588|0.028357  |628352.700000 |647405  |608436  |
|1590|0.028943  |635262.000000 |648577  |621325  |
|1592|0.028235  |633566.200000 |657748  |618600  |
|1594|0.028630  |636370.000000 |657277  |626497  |
|1596|0.028616  |633742.600000 |653130  |610811  |
